"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"51","종합유원시설업","03_07_12_P","4241000","CDFI5271002014000001","2014-09-26","","01","영업/정상","13","영업중","","","","","550-7788","","245-903","강원특별자치도 삼척시 도계읍 심포리 231-3","강원특별자치도 삼척시 도계읍 심포남길 99","25952","(주)하이원추추파크","2023-12-05 14:43:10","U","2023-12-07 02:40:00","","","","허가유원시설업","","관리지역","4","기타","","","숙박시설","2","2","0","0","","","0","0","","0","0","","0","719149","레일바이크 A · B, 미니트레인 C · D, 관람차, 회전목마, UFO스윙","0","Y","Y","Y","Y","","","0","","","","719149",
"52","종합유원시설업","03_07_12_P","4291000","CDFI5271002018000001","2018-06-29","","01","영업/정상","13","영업중","","","","","0335906849","","","강원특별자치도 정선군 사북읍 사북리 산 155-58 하이원 워터월드","강원특별자치도 정선군 사북읍 하이원길 175, 하이원 워터월드","26154","하이원 워터월드","2024-04-25 14:10:12","U","2024-04-27 02:40:00","","361192.676771488","413952.039713274","허가유원시설업","","관리지역","5","기타","","","기타","3","2","0","0","","","0","0","","0","0","","0","27238","","16","Y","Y","Y","Y","","","0","","","","27238",
"53","종합유원시설업","03_07_12_P","6520000","CDFI5271002017000002","2017-08-25","","01","영업/정상","13","영업중","","","","","064-908-3325","","","제주특별자치도 서귀포시 안덕면 서광리 산 35-16","제주특별자치도 서귀포시 안덕면 신화역사로304번길 98","63521","신화테마파크","2023-06-28 17:38:44","U","2023-06-30 02:40:00","","135832.360849049","-20907.8370467928","허가유원시설업","","관리지역","0","","","","기타","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사: 10종 11대 / 확인검사: 6종 20대","0","Y","Y","Y","Y","","","0","","","","0",
"54","종합유원시설업","03_07_12_P","6520000","CDFI5271002018000003","2018-07-19","","01","영업/정상","13","영업중","","","","","064-908-6000","","","제주특별자치도 서귀포시 안덕면 서광리 산 35-16","제주특별자치도 서귀포시 안덕면 신화역사로304번길 98","63521","신화워터파크","2024-04-30 13:24:03","U","2024-05-02 02:40:00","","135832.360849049","-20907.8370467928","허가유원시설업","","관리지역","0","","","","기타","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","Y","Y","Y","","","0","","","","0",
"55","종합유원시설업","03_07_12_P","3400000","CDFI5271002022000001","2022-03-15","","01","영업/정상","13","영업중","","","","","","","","부산광역시 기장군 기장읍 시랑리 산 46","부산광역시 기장군 기장읍 동부산관광로 42","46083","롯데월드 어드벤처 부산","2024-03-20 13:22:44","U","2024-03-22 02:40:00","","401648.172377821","190623.521052889","허가유원시설업","","자연녹지지역","0","기타","","","기타","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","Y","Y","Y","","","0","","","","0",
"56","종합유원시설업","03_07_12_P","4251000","CDFI5271002014000001","2014-12-23","","01","영업/정상","13","영업중","","","","","033-439-8308","","","강원특별자치도 홍천군 서면 팔봉리 1289 대명비발디파크","강원특별자치도 홍천군 서면 한치골길 264, 대명비발디파크","25102","(주)소노인터내셔널 오션월드","2024-04-24 13:38:00","U","2024-04-26 02:40:00","","260132.088814104","460528.355366015","허가유원시설업","","관리지역","4","기타","","","근린생활시설","3","1","0","0","","","0","0","","0","0","","0","7830.87","20종 21대","0","Y","Y","Y","Y","","","0","","","","7831",
"57","종합유원시설업","03_07_12_P","4231000","CDFI5271001984000001","1984-05-04","","01","영업/정상","13","영업중","","","","","033-635-7711","","","강원특별자치도 속초시 장사동 24-9","강원특별자치도 속초시 미시령로2983번길 88 (장사동)","24801","한화리조트(주) 설악워터피아","2023-02-17 07:34:41","I","2023-06-13 00:00:00","","333861.329823747","523878.780261004","허가유원시설업","유원시설업","관리지역","1","기타","","","기타","1","0","0","0","","","0","0","","0","0","","0","23838","안전성검사 대상 11종","0","Y","Y","Y","Y","","","0","","","","23838",
"58","종합유원시설업","03_07_12_P","4231000","CDFI5271002017000002","2017-12-29","","01","영업/정상","13","영업중","","","","","033-634-1000","","","강원특별자치도 속초시 대포동 908-1 롯데리조트속초","강원특별자치도 속초시 대포항길 186, 롯데리조트속초 (대포동)","24900","롯데리조트 속초 워터파크","2024-04-24 19:07:59","U","2024-04-26 02:40:00","","341368.867554951","521043.560941235","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","6","0","Y","Y","Y","Y","","","0","","","","0",
"59","종합유원시설업","03_07_12_P","4810000","CDFI5271002006000001","2006-06-23","","01","영업/정상","13","영업중","","","","","061)689-861","","","전라남도 여수시 소호동 923 일원","전라남도 여수시 소호로 295 (소호동, 디오션리조트)","59670","에이치제이디오션리조트 주식회사","2024-04-22 13:42:16","U","2024-04-24 02:40:00","","258834.529851978","137421.041862657","허가유원시설업","유원시설업","자연녹지지역","4","기타","","","콘도미니엄","0","4","0","0","","","0","0","","0","0","","0","0","","14","Y","Y","Y","Y","","","0","","","","0",
"60","종합유원시설업","03_07_12_P","4830000","CDFI5271002007000001","2007-06-13","","01","영업/정상","13","영업중","","","","","061-339-5000","","520-862","전라남도 나주시 다도면 방산리 산 219-1","","","중흥골드스파&리조트","2023-10-31 10:50:30","U","2023-11-02 02:40:00","","","","허가유원시설업","유원시설업","관리지역","","기타","","","유기장","","","","","","","","","","","","","","16819","","11","","","","","","","","","","","16819",
"61","종합유원시설업","03_07_12_P","4900000","CDFI5271002018000001","2018-03-27","","01","영업/정상","13","영업중","","","","","","","","전라남도 화순군 도곡면 대곡리 1004-1","전라남도 화순군 도곡면 지석로 1202-7","58155","테마파크 소풍","2022-10-20 19:43:34","U","2022-10-22 02:40:00","","193259.2799136","166343.978282413","허가유원시설업","","","","","","","","","","","","","","","","","","","","","","안전성 검사대상 6종, 비안전성 검사대상 2종","","","","","","","","","","","","",
"62","종합유원시설업","03_07_12_P","3650000","CDFI5271002002000001","2002-05-02","","01","영업/정상","13","영업중","","","","","042-580-4710","","","대전광역시 중구 사정동 100","대전광역시 중구 사정공원로 70 (사정동, 대전동물원)","35073","대전오월드","2024-03-21 12:55:02","U","2024-03-23 02:40:00","","235868.977826567","309797.481100569","허가유원시설업","유원시설업","자연녹지지역","0","기타","","","문화시설","0","0","0","0","","","0","0","","0","0","","0","0","총42종 (안전성검사대상19종, 안전성검사비대상23종)","0","Y","Y","Y","Y","","","0","","","","0",
"63","종합유원시설업","03_07_12_P","5670000","CDFI5271002024000001","2024-02-22","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 구산면 반동리 산 105","경상남도 창원시 마산합포구 구산면 로봇랜드로 250","51784","로봇랜드","2024-04-22 13:59:51","U","2024-04-24 02:40:00","","344743.524516434","176487.884974415","허가유원시설업","","관리지역","4","","","","","4","0","0","0","","","0","0","","0","0","","0","0","안전성검사 대상 26종, 확인검사 대상 2종","0","Y","Y","Y","Y","","","0","","","","0",
"64","종합유원시설업","03_07_12_P","5350000","CDFI5271001991000001","1991-10-05","","01","영업/정상","13","영업중","","","","","055-346-6000","","621-190","경상남도 김해시 삼방동 산 123","경상남도 김해시 인제로 368 (삼방동)","621-190","가야랜드","2024-03-08 09:58:33","U","2024-03-10 02:40:00","","373037.22582818","197521.155073196","허가유원시설업","유원시설업","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","3131.07","fax)055-346-9900","20","Y","Y","Y","Y","","","0","","","","3131",
"65","종합유원시설업","03_07_12_P","5370000","CDFI5271002013000001","2013-06-12","","01","영업/정상","13","영업중","","","","","","","656-892","경상남도 거제시 일운면 소동리 115","경상남도 거제시 일운면 거제대로 2660","53326","오션어드벤처","2024-04-25 09:20:39","U","2024-04-27 02:40:00","","355727.353999581","150751.730718341","허가유원시설업","","자연녹지지역","28","","","","콘도미니엄","28","4","","","","","","","","","","","","14526","9종(부메랑고, 웨이브 슬라이드, 바디슬라이드, 익스트림리버, 트위스터 슬라이드, 파도풀, 워터플렉스, 유수풀, 키즈슬라이드","","Y","Y","Y","Y","","","","","","","14526",
"66","종합유원시설업","03_07_12_P","4810000","CDFI5271002008000002","2008-07-23","","01","영업/정상","13","영업중","","","","","1588-0377","","555-060","전라남도 여수시 소호동 923","전라남도 여수시 소호로 295 (소호동)","59670","에이치제이디오션리조트 주식회사","2024-04-29 13:12:55","U","2024-05-01 02:40:00","","258834.529851978","137421.041862657","허가유원시설업","유원시설업","자연녹지지역","5","기타","","","환경위생시설","4","1","0","0","","","0","0","","0","0","","0","28567","","0","Y","","Y","Y","","","0","","","","28567",
"67","종합유원시설업","03_07_12_P","3970000","CDFI5271002003000001","2003-04-09","","01","영업/정상","13","영업중","","","","","02-509-6000","","427-080","경기도 과천시 막계동 33","경기도 과천시 광명로 181 (막계동)","13829","(주)서울랜드","2024-03-12 19:16:55","U","2024-03-14 02:40:00","","202115.827740088","437231.67242479","허가유원시설업","유원시설업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","234709","안전선검사대상 유기기구 36종, 안전성비검사대상 유기기구 24종","0","N","N","N","N","","","0","","","","234709",
"68","종합유원시설업","03_07_12_P","3040000","CDFI5271002021000001","2021-03-26","","01","영업/정상","13","영업중","","","","","02-450-9311","","","서울특별시 광진구 능동 18 어린이대공원","서울특별시 광진구 능동로 216, 어린이대공원 (능동)","04991","구미산업개발(주) 서울어린이대공원 놀이동산지점","2024-01-22 10:05:15","U","2024-01-24 02:40:00","","207139.204095368","449705.67643744","허가유원시설업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","1560.72","안전성 검사 15개","15","Y","Y","Y","Y","","","0","","","","1561",
"69","종합유원시설업","03_07_12_P","3860000","CDFI5271002008000001","2008-08-08","","01","영업/정상","13","영업중","","","","","032-310-8171","","420-030","경기도 부천시 원미구 상동 572-1","경기도 부천시 원미구 조마루로 2 (상동)","14592","웅진플레이도시","2024-03-18 14:06:35","U","2024-03-20 02:40:00","","177375.852950927","444220.013600334","허가유원시설업","유원시설업","자연녹지지역","7","기타","","","체육시설","4","3","0","0","","","0","0","","0","0","","0","13246","다용도풀(파도풀), 수로풀, 스페이스트렉1, 어린이슬라이드, 아쿠아플레이, 스페이스트렉2, 스페이스볼, 바디슬라이드, 라이드하우스","9","Y","Y","Y","Y","","","0","","","","13246",
"70","종합유원시설업","03_07_12_P","3620000","CDFI5271002003000001","2003-03-21","","01","영업/정상","13","영업중","","","","","062-607-8000","","500-240","광주광역시 북구 생용동 138","광주광역시 북구 우치로 677 (생용동)","61028","광주패밀리랜드(주)","2024-04-18 09:37:57","U","2024-04-20 02:40:00","","189939.238971098","191422.862247767","허가유원시설업","유원시설업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","안전성검사대상 24종 242대, 비검사대상 14종 26대","0","Y","N","Y","Y","","","0","","","","0",
"71","종합유원시설업","03_07_12_P","3230000","CDFI5271001999000001","1989-07-08","","01","영업/정상","13","영업중","","","","","411-2223","","138-220","서울특별시 송파구 잠실동 40-1","서울특별시 송파구 올림픽로 240 (잠실동)","05554","(주)롯데월드어드벤처","2024-03-05 14:19:14","U","2024-03-07 02:40:00","","208589.363343145","445455.90405262","허가유원시설업","유원시설업","상업지역","0","기타","","","기타","6","4","0","0","","","0","0","","0","0","","0","0","검사대상 42종 43대, 검사비대상 24종 35대","0","Y","Y","Y","Y","","","0","","","","0",
"72","종합유원시설업","03_07_12_P","3230000","CDFI5271002017000001","2017-03-29","","01","영업/정상","13","영업중","","","","","6925-2900","","","서울특별시 송파구 문정동 618 202동","서울특별시 송파구 송파대로 111, 202동 지하1,2층 (문정동, 파크하비오)","05837","워터킹덤","2024-01-05 16:09:34","U","2024-01-07 02:40:00","","210868.397496689","442053.227933005","허가유원시설업","","일반상업지역","3","기타","","","","1","2","0","0","","","0","0","","0","0","","0","0","안전성검사대상 9종9대, 안전성검사비대상 3종5대","0","Y","Y","Y","Y","","","0","","","","0",
"73","종합유원시설업","03_07_12_P","3940000","CDFI5271002013000001","2013-05-03","","01","영업/정상","13","영업중","","","","","031-961-6107","","411-410","경기도 고양시 일산서구 대화동 2606","경기도 고양시 일산서구 한류월드로 300 (대화동)","411-410","(주)원마운트","2024-04-29 14:53:25","U","2024-05-01 02:40:00","","178268.135568909","462480.734362689","허가유원시설업","","일반상업지역","11","기타","","","체육시설","9","2","0","0","","","0","0","","0","0","","0","29679.15","","0","Y","Y","Y","Y","","","0","","","","29679",
"74","종합유원시설업","03_07_12_P","4510000","CDFI5271002007000001","2007-08-08","2013-05-10","04","취소/말소/만료/정지/중지","30","허가취소","","","","","041)939-9000","","355-944","충청남도 보령시 신흑동 1945번지","충청남도 보령시 대해로 876  (신흑동)","","레그랜드펀비치 호텔앤워터파크","2013-08-14 15:57:59","I","2018-08-31 23:59:59","","156677.986783147","311919.423476203","허가유원시설업","유원시설업","관리지역","10","유흥업소밀집지역","","","숙박시설","9","1","","","","","","","","","","","","13743.8","토랜스리버 외 13종","","Y","Y","Y","Y","","","","","","","13744",
"75","종합유원시설업","03_07_12_P","5670000","CDFI5271002002100001","2002-08-29","2013-03-14","04","취소/말소/만료/정지/중지","30","허가취소","","","","","055-223-9561~5","","631-866","경상남도 창원시 마산합포구 월영동 625","","","주식회사 가고파랜드","2013-03-14 17:41:40","I","2021-07-02 00:23:01","","344023.321997695","187796.462350639","허가유원시설업","유원시설업","자연녹지지역","1","기타","","","근린생활시설","3","","","","","","","","","","","","","","7종(25대) 1종(2대)","","Y","Y","Y","Y","","","","","","","",
"76","종합유원시설업","03_07_12_P","3280000","CDFI5271002007000001","2007-07-24","2007-08-20","04","취소/말소/만료/정지/중지","30","허가취소","","","","","","","606-806","부산광역시 영도구 동삼동 1125번지","부산광역시 영도구 해양로 435-1 (동삼동)","49111","월드카니발 부산","2016-02-25 17:53:56","I","2018-08-31 23:59:59","","389790.784583323","176920.169555611","허가유원시설업","유원시설업","자연녹지지역","","","","","","","","","","","","","","","","","","","66116","","","","","","","","","","","","","66116",
"77","종합유원시설업","03_07_12_P","3040000","CDFI5271001983000001","1983-12-07","2020-12-16","04","취소/말소/만료/정지/중지","30","허가취소","","","","","02-454-4442","","143-847","서울특별시 광진구 능동 18-0","서울특별시 광진구 능동로 216 (능동)","04991","어린이대공원놀이동산(주)","2020-12-21 17:10:32","U","2020-12-23 02:40:00","","207139.204095368","449705.67643744","허가유원시설업","유원시설업","","","기타","","","","","","","","","","","","","","","","","20000","안전성 검사대상 21종, 확인검사대상 9종","","Y","Y","Y","Y","","","","","","","20000",
"78","종합유원시설업","03_07_12_P","5710000","CDFI5271002001000001","2001-11-03","2013-12-16","04","취소/말소/만료/정지/중지","30","허가취소","","","","","223-5118","","360-191","충청북도 청주시 상당구 명암동 47-8번지","충청북도 청주시 상당구 명암로216번길 47 (명암동)","360-191","(주)청주드림랜드","2014-02-27 18:14:07","I","2018-10-04 11:12:49","","246490.470450325","350040.527926099","허가유원시설업","유원시설업","","","","","","","","","","","","","","","","","","","","","","","N","N","N","N","","","","","","","",
